Publication Date	Time	Publisher	Author	Title	URL	Text
15-11-2020	23:00:00Z	bluewin.ch		Schön, wenn am Mann etwas mehr dran ist	https://www.bluewin.ch/de/leben/lifestyle/schoen-wenn-am-mann-etwas-mehr-dran-ist-459707.html	16.11.2020 - 00:00 Rihanna hat kürzlich ihre Herren-Unterwäsche an männlichen Plus-Size-Models vorgeführt – gut so, findet die Kolumnistin. Dehnungsstreifen, Speckröllchen, Zahnlücken, Hautflecken oder andere «Makel» – dank Body Positivity setzen manche Modemacher wie auch Werber seit einiger Zeit auf Frauenkörper, die dem gängigen Schönheitsideal nicht entsprechen. Und auf Instagram präsentieren sich Userinnen und Bloggerinnen so, wie sie eben sind – ganz ohne Filter und Photoshop. «Liebe deinen Körper so, wie er ist», lautet die Botschaft. Body Positivity nennt sich der Trend, und dahinter steckt die Erkenntnis, dass ein positives Körperbild meist auch ein besseres Selbstwertgefühl bedeutet – und wer will das nicht? Jetzt ist es aber nicht so, dass nur Frauen leiden, wenn zwischen ihrem Körper und dem gängigen Schönheitsideal Welten liegen. Auch Männer hadern mit Bauchansatz, schütterem oder gar keinem Haar oder kaum vorhandenen Muckis. Marianne Siegenthaler ist freie Journalistin, Texterin und Buchautorin. In ihrer Kolumne nimmt sie die grossen und kleinen, die schrägen und schönen, die wichtigen und witzigen Themen des Alltags unter die Lupe – mal kritisch, mal ironisch, mal mit einem Augenzwinkern. Sie ist verheiratet, hat eine erwachsene Tochter und lebt am Zürichsee. www.texterei.ch Ein neues, nicht ganz so perfektes Ideal würde ihnen viele Stunden im Fitness-Studio, unzählige Protein-Shakes und viel Geld für unnütze Haarwuchsmittel ersparen. Allein die Industrie rund um den männlichen Haarverlust ist laut einer Erhebung der US-Gesundheitsberatungsplattform Healthline.com rund 1,5 Milliarden US-Dollar schwer. Bis vor Kurzem war denn auch Body Positivity von Männern kaum ein Thema. Vereinzelt zeigten sich zwar einige Männer mit Bauch und kaum Muskeln auf Instagram. Seit aber Rihanna ihre Herren-Unterwäsche auch an einem männlichen Plus-Size-Model präsentiert, hat sich das geändert. Jugendlich-hager oder jugendlich-muskulös ist vielleicht – hoffentlich – bald nicht mehr die Norm auf dem Laufsteg und das Schönheitsideal der Männerwelt. Zumal der athletische Körper zwar Männern gefällt, Frauen es aber auch etwas gewichtiger mögen, wie eine Studie der Universität Osnabrück zeigte. Das kann ich gut nachvollziehen. Nichts gegen ein paar Muskeln, aber sooo wichtig finde ich das denn auch wieder nicht. Erst recht nicht, wenn sich der Mann diese nicht in einem körperlich anstrengenden Beruf auf dem Bau oder als Gärtner erworben hat, sondern in der Mucki-Bude. Seine Freizeit soll er nämlich mit mir verbringen und nicht mit Hantelschwingen. Und er soll mein sorgfältig zubereitetes Essen geniessen, ohne ständig Kalorien, Eiweissgehalt und Ähnliches zu checken. Und nicht zuletzt soll er mich schön finden und nicht sein mühsam antrainiertes Sixpack. In der Rubrik «Die Kolumne» schreiben Redaktorinnen und Redaktoren von «blue News» regelmässig über Themen, die sie bewegen. Leserinnen und Leser, die Inputs haben oder Themenvorschläge einreichen möchten, schreiben bitte eine E-Mail an: redaktion.news@blue.ch. KolumneMomente, in denen Frau im Boden versinken möchte KolumneIst das Frühstück wirklich die wichtigste Mahlzeit des Tages? 
6-11-2020	08:00:00Z	FIT FOR FUN		Erfolgsgeschichte: Nataschas Weg von Low-Carb zu CrossFit und Body Positivity	https://www.fitforfun.de/abnehmen/erfolgsgeschichten/body-positivity-statt-low-carb-natashas-weg-zu-mehr-selbstliebe-452905.html	"Um für ihre Hochzeit schlank und fit zu sein, beschließt Natascha mit Clean-Eating und Laufen zu beginnen. Der körperliche Erfolg kommt schnell, doch das mentale Glück bleibt aus. Sie erzählt uns ihren Weg, zu einem neuen Sport und Körper – und vor allem zu einer neuen Sicht auf sich selbst. Jeder dachte: Das ist es. Sie hat ihr Ziel erreicht. Wie toll! Doch tatsächlich war es gar nicht so toll, in diesem neuen Körper zu wohnen, wie es nach außen wirkte. Denn eine ""perfekte"" Figur macht nicht automatisch glücklich. Natascha Geercke erzählt uns ihre Geschichte von falschen Schönheitsidealen, trügerischem Erfolg und der Wichtigkeit eines gesunden Verhältnisses von Körper und Geist. Meine Abnehmreise begann bei knapp 90 Kilo und Kleidergröße 44. Durch Clean-Eating und Laufen wollte ich für meine Hochzeit schlank und fit werden. Low-Carb hat mir dann geholfen, 15 Kilo abzunehmen. Durch die Umstellung auf eine vegane Ernährung konnte ich mein neues Gewicht auch halten. Gleichzeitig habe ich mit Fitness angefangen und hatte ein festes Ziel vor Augen: meinen ersten Halbmarathon. Doch dann nahm der Erfolg eine negative Wendung: Es begann privat und beruflich eine stressige Zeit und ich verlor unbewusst weiter an Gewicht. Während ich ständig Komplimente für mein Äußeres bekam, konnte niemand sehen, wie es mir wirklich ging: Ich stand kurz vor dem Burn-Out, meine Ehe fast am Ende und der Stress wirkte sich negativ auf meine Gesundheit aus. Ugly face contest am Mittwoch. #powerclean #powercleans #clean #crossfit #crossfitgermany #crossfitdeutschland #crossfitgirls #outdoorworkout #lastdaysofsummer #builtbycrossfithammerbrook #crossfithammerbrook #hwpo #crossfitlife #loveit Ein Beitrag geteilt von Natascha Geercke (@einviertelliebe) am Sep 23, 2020 um 9:30 PDT Dann hatte ich einen Weckruf: Die ersten Worte einer Kollegin, die ich lange nicht gesehen hatte, waren: ""Du siehst unglücklich aus."" Ich krempelte mein privates Leben um und suchte mir einen neuen Job. Dabei half mir der regelmäßige Sport: Sich ein Ziel zu setzen, in einzelnen Etappen darauf hinzuarbeiten und nicht aufzugeben, das tat so gut. Inmitten der Corona-Pandemie kam dann im März der Lockdown und ich wollte beweisen: Ich kann trotzdem weiter Sport treiben und lasse mich davon nicht aufhalten. Also begann ich mit Instagram-Challenges, ging weiter laufen und legte mir Equipment für mein Krafttraining daheim zu. Low Carb schmeckte mir letztendlich nicht mehr und war für mich auf Dauer auch nicht gesund. Auch wenn es ein langer Weg zu meiner jetzigen Ernährung war, habe ich herausgefunden, wie es für mich am besten klappt. Ich tracke alles, was ich esse, und behalte somit meine Nährstoffe im Auge, aber gleichzeitig verbiete ich mir nichts. Essen muss in den Alltag integrierbar sein, satt machen und vor allem schmecken! Jetzt wiege ich deutlich mehr. Früher hätte mir diese Zahl Angst eingejagt. Aber jetzt bin ich stolz darauf: 80,5 Kilo, davon viel Muskelmasse, ein völlig anderer Körper und vor allem ein neuer Geist – beziehungsweise Blick auf mich selbst! Ich habe dieses Jahr mit CrossFit angefangen und es ist eine große Liebe entfacht. Der Sport macht einen nicht nur körperlich fit, sondern mental stark und die Community ist unvergleichlich! Man gibt sich gegenseitig Tipps, hilft und motiviert sich – und beißt sich zusammen durch die heftigsten Workouts. Mein großes Learning: Man kann alles schaffen, wenn man sich gut fühlt. Ich renne keinem Bild in meinem Kopf mehr hinterher, wie ich auszusehen habe. Das Äußere ist für mich komplett aus meinem Fokus verschwunden. Wenn es einem innerlich gut geht, strahlt man das auch nach außen aus! Du hast auch etwas geschafft, wovon du unserer Community berichten willst? Dann schick deine persönliche Geschichte mit dem Betreff ""Erfolgsstory"" an info@fitforfun.de – und vielleicht gehörst du auch schon bald zu unseren FIT FOR FUN-Helden des Alltags!"
28-9-2020	07:00:00Z	ZEIT ONLINE		Body-Positivity: Sophie Passmann | ZEITmagazin	https://www.zeit.de/zeit-magazin/2020/40/body-positivity-schoenheitsideale-hass-alles-oder-nichts	Um der Nutzung mit Werbung zuzustimmen, muss JavaScript in Ihrem Browser aktiviert sein. Besuchen Sie zeit.de wie gewohnt mit Werbung und Tracking. Details zum Tracking finden Sie in der Datenschutzerklärung und im Privacy Center. Zustimmung jederzeit über den Link Privacy Einstellungen am Ende jeder Seite widerrufbar. Nutzen Sie zeit.de mit weniger Werbung und ohne Werbetracking für 1,20 €/Woche (für Digital-Abonnenten nur 0,40 €/Woche). Bereits PUR-Abonnent? Hier anmelden. Wir erheben personenbezogene Daten und übermitteln diese auch an Drittanbieter, die uns helfen, unser Webangebot zu verbessern und zu finanzieren. Eine Verarbeitung der auf Ihrem Gerät gespeicherten Informationen wie z.B. Cookies oder persönliche Identifikatoren, IP-Adressen sowie Ihres individuellen Nutzungsverhaltens erfolgt dabei zu den folgenden Zwecken: Für die Ihnen angezeigten Verarbeitungszwecke können Cookies, Geräte-Kennungen oder andere Informationen auf Ihrem Gerät gespeichert oder abgerufen werden. Anzeigen und Inhalte können basierend auf einem Profil personalisiert werden. Es können mehr Daten hinzugefügt werden, um Anzeigen und Inhalte besser zu personalisieren. Die Performance von Anzeigen und Inhalten kann gemessen werden. Erkenntnisse über Zielgruppen, die die Anzeigen und Inhalte betrachtet haben, können abgeleitet werden. Daten können verwendet werden, um Benutzerfreundlichkeit, Systeme und Software aufzubauen oder zu verbessern.
21-10-2020	07:00:00Z	HORIZONT		Body-Positivity: 'Wienerin' kürt Gewinnerin des Covermodel-Contests 2020	https://www.horizont.at/medien/news/body-positivity-wienerin-kuert-gewinnerin-descovermodel-contest-2020-82723	
23-10-2020	07:00:00Z	klatsch-tratsch.de		Lizzo möchte nicht mehr auf ihre Kurven reduziert werden	https://www.klatsch-tratsch.de/bang/lizzo-moechte-nicht-mehr-auf-ihre-kurven-reduziert-werden-635699/	
14-11-2020	12:26:18Z	RTL Online	RTL Interactive GmbH	Angelina Kirsch postet Bikini-Foto ohne Filter: Fans feiern ihren Umgang mit Cellulite	https://www.rtl.de/cms/angelina-kirsch-postet-bikini-foto-ohne-filter-fans-feiern-ihren-umgang-mit-cellulite-4648747.html	"14. November 2020 - 13:26 Uhr Eigentlich wollte sich Curvy-Model Angelina Kirsch (32) nur mit einem Erinnerungsfoto aus sonnigeren Tagen für ihren Hula-Hoop-Workout motivieren, doch ihr Bikini-Schnappschuss ist auch eine schöne Motivation für ihre Follower, auf Instagram-Filter zu verzichten und Body-Positivity zu leben. #tbsummer #rockyourcurves 💙 Ich vermisse die Sonne auf meiner Haut! Naja, dann stell ich mir heute beim Reifen-Workout einfach vor, ich wäre an einem sonnigen Ort 😊 Ein Beitrag geteilt von Angelina Kirsch (@angelina.kirsch) am Nov 9, 2020 um 1:46 PST ""Ich vermisse die Sonne auf meiner Haut! Naja, dann stell ich mir heute beim Reifen-Workout einfach vor, ich wäre an einem sonnigen Ort"", schreibt Angelina Kirsch zu dem Foto, auf dem sie in einem süßen blauen Pünktchen-Bikini einen Hollahoop-Reifen kreisen lässt. Was auf dem Bild nicht zu übersehen ist: Angelinas Cellulite an den Oberschenkeln. Mit der sie aber offenbar null Probleme hat. Auf die Frage einer Followerin, ob sie bei dem Foto keinen Instagram-Filter benutzt hat, antwortet Angelina, die bekannt dafür ist, zu ihren Kurven zu stehen und für Body-Positivity zu werben: ""Ja, ganz pur und ohne Filter"" und erntet Begeisterung: ""Find ich richtig geil!"" Dieser Meinung schließen sich auch viele andere Follower an und schreiben: ""Klasse Bild. Klasse Frau. Klasse Mensch. Besonders SUPER OHNE FILTER. Ehrlich und natürlich"" oder ""Wunderschön! ...und zwar, weil es ECHT ist! Danke dafür!"". Ein Fan fasst es besonders schön zusammen: ""Liebe Angelina, früher dachte ich immer, du bist zu wunderschön um wahr zu sein, jetzt bin ich mir sicher, du bist so wahr, dass es wunderschön ist. Danke, dass du hier so viele Facetten von dir teilst""."
16-6-2020	07:00:00Z	VOGUE Germany	Von Stephanie Yeboah	Warum die Body-Positivity-Bewegung noch einen langen Weg vor sich hat	https://www.vogue.de/beauty/artikel/body-positivity-bewegung	"Vor nicht allzu langer Zeit haben wir in sozialen Medien und dem TV-Bildschirm scheinbar nichts als schlanke, vermeintlich sozialverträgliche Körper gesehen. In Werbung für Kleidung und Make-up-Produkte sind HauptdarstellerInnen häufiger attraktiv und schlank gecastet, die erfolgreiche Jobs und Beziehungen haben und in der Lage sind, mit allen Privilegien, die man sich als schlanker Mensch leisten kann, in der Gesellschaft in Erscheinung zu treten. Dennoch: Was in den letzten fünf und mehr Jahren (glücklicherweise) sichtbar wird, ist der bedeutende Wandel in der Art und Weise, wie Körper in der Medienwelt und in der Gesellschaft repräsentiert werden. Die Body-Positivity-Bewegung erhielt 2012 mit einem Hashtag die erhoffte größere Aufmerksamkeit. Verwendet wurde dieser innerhalb der Bewegung für die Akzeptanz der gesellschaftlich als zu dick wahrgenommenen Körper. Eine Initiative, die von übergewichtigen, dunkelhäutigen Frauen und Frauen aus ethnischen Minderheiten angeführt wurde und die sich in erster Linie auf die bedingungslose Selbstliebe sichtbar dickerer Körper konzentrierte – und zudem weitere Anliegen und Facetten der Body-Positivity-Bewegung widerspiegeln würde. Nachdem der Leitgedanke in damals Tumblr- und Facebook-Gruppen und später über die übergroßen BloggerInnen auf Instagram schnell an Zulauf gewann, ist sie seither weltweit bekannt. Die Revolution der Körperform und der Selbstliebe war somit ausgelöst. Fortan haben wir einen Aufschwung von Marken im Plus-Size-Bereich wie Vero Moda, Soncy, Pink Clove und Universal Standard erlebt. Hinzu einen Marken-Mix von sowohl High-Street- als auch Mainstream-Marken wie ASOS, River Island, Monsoon, H&M nebst Mary Katrantzou, Christopher Kane und Diane von Fürstenberg, die ihre Abmessungstabelle erweitert haben, um auch größeren Kleidungsgrößen gerecht zu werden. In Shows und Filmen wie ""Empire"", ""Dumplin"" und ""Euphoria"" – letzterer mit dem körperbetonten Model und der Schauspielerin Barbie Ferreira – werden ProtagonistInnen in Übergröße gezeigt. Diese müssen sich nicht länger Stereotypen von dicken Charakteren beugen, die wir alle im Fernsehen erlebt haben, sondern repräsentieren ein positives Körpergefühl. Sie sind lustig, stark, unabhängig, erfolgreich, klug und fähig, zu lieben und dafür geliebt zu werden. Immer öfter werden die Rollen auf dem Bildschirm natürlich und im positiven Licht dargestellt – und lassen damit mehr Möglichkeiten für Plus-Sizes sichtbar werden, sich entfalten zu können. Es ist aber nicht nur die Mediensparte von Serien und Filmen – Plus-Sizes eroberten in den letzten Jahren die Titelseiten einiger der renommiertesten Modemagazine und Kampagnen der Welt. Von Ashley Grahams Titelbild der ""Sports Illustrated"" 2016 bis hin zu Paloma Elsessers Cover der British VOGUE 2018 scheint es, als ob die Welt allmählich ihnen und der Tatsache die Aufmerksamkeit zugesteht, dass größeren und dickeren Körpern ihr Platz in der Gesellschaft zusteht. Für mich habe ich die Gemeinschaft der Body Positivity im Jahr 2014 entdeckt, als ich beschloss, nach Jahren voller Diäten, Selbstverletzung und Selbsthass mich auf eine Reise in Richtung Selbstliebe und Körperakzeptanz zu begeben. Als dunkelhäutige, übergewichtige Frau, die in der westlichen Gesellschaft lebt, war ich damit aufgewachsen, dass Körper wie meiner an den Rand gedrängt, beleidigt, fetischisiert und dämonisiert wurden. Mein Körper und meine Körperformen waren nie in Mode. Als ich aufwuchs, wurde mir über die Medien- und die Unterhaltungsindustrie gesagt, dass weiß und dünn ""in"" sei und wunderschön. Alles, was diesem Standard nicht entsprach, wurde als weniger gut betrachtet. Als ich auf die Body-Positivity-Bewegung traf, war sie eine etwas andere, auf sozialen Medien basierende Gemeinschaft, die Selbstliebe und radikale Selbstakzeptanz von übergewichtigen Körpern aller Herkünfte huldigte. Prominenten Persönlichkeiten wie Jes Baker, Sonya Renee Taylor, Jessamyn Stanley und Kivan Bay nahmen an der Bewegung teil. Doch dann änderte sich etwas. Bei der Body Positivity geht es darum, unseren Körper als etwas zu betrachten, das nicht nur rundum akzeptabel, sondern vollkommen wunderbar ist. In einer Welt, in der die vorherrschende Mentalität darin besteht, dass wir uns für unseren Körper schämen sollten (insbesondere wenn unser Körper dicker, vernarbt oder auf andere Weise vermeintlich abnormal ist), ist dies eine überwältigend starke Botschaft. In den letzten Jahren ist die Bewegung jedoch immer mehr zu einer Ware geworden. Body Positivity scheint jetzt eine ""Free for all""-Bewegung zu sein, die von Marken und Persönlichkeiten des öffentlichen Lebens in einer Weise monetarisiert und politisiert wird, die oft dazu führt, dass Personen ab einer bestimmten Größe und einer bestimmten ethnischen Zugehörigkeit erneut von der Konversation ausgeschlossen werden – obwohl sie diejenigen waren, die das Gespräch überhaupt erst begonnen haben. Während die Bewegung wunderbare Dinge und erstaunliche Möglichkeiten für weniger privilegierte Körper, zuvor oft ausgeschlossene Körper geschaffen hat, hat sie auch auf gefährliche Weise ihren eigenen Schönheitsstandard geschaffen – und von denen viele, davon angesprochene Frauen glauben, diese nicht anstreben zu können. Wir haben gesehen, dass die Bewegung nicht mehr nur auf die Achtung und das Feiern von Übergrößen ausgerichtet ist, sondern dass sie sich jetzt auf ""akzeptabel dicke"" Frauen konzentriert: schöne Frauen mit extremen Sanduhrformen, typischerweise weiß oder hellhäutig, mit kleiner Taille, großen Hüften und hohen Wangenknochen. Dennoch hat es einige Ausnahmen gegeben: Models und InfluencerInnen, die ähnliche Körperformen wie ich haben, wie La'Shaunae Steward, Ashleigh Tribble, Gabi Gregg und Enam Asiama, beginnen damit, die Selbstliebe in der Gemeinschaft neu gedeihen zu lassen. Sie machen wieder auf die Berechtigung, die Wertschätzung und den Respekt gegenüber größeren und breiter geformten Körpern in der Gesellschaft aufmerksam. ""Ich weiß, dass ich vielen Mädchen helfe, die in den Medien eben nicht viele schwarze, dicke Mädchen sehen"", sagte das 23-jährige Model und Body-Positivity-Aktivistin Steward im August 2019 gegenüber Teen VOGUE. ""Mädchen in Übergröße über Größe 44 sieht man im Allgemeinen nicht viele."" Seit ihre Kampagne für den Universal Standard 2018 bekannt wurde, nutzt Steward ihre Plattform, um über Inklusivität in der Modebranche zu sprechen. Da ist auch noch die amerikanische Sängerin Lizzo. Im Jahr 2019 verursachte sie einen absoluten Wirbelwind – ein Solo-Cover der British VOGUE wurde zum weltweiten Aushängeschild für radikale Selbstliebe und Body Positivity. Auch sie hat ihre Frustration über die Kommerzialisierung der Body Positivity zum Ausdruck gebracht. ""Jeder, der Body Positivity benutzt, um etwas zu verkaufen, benutzt sie zu seinem persönlichen Vorteil"", sagte sie VOGUE in ihrem Titel-Interview. ""Am Anfang haben wir gar nichts verkauft. Wir haben nur uns selbst verkauft."" Für viele von uns symbolisiert Lizzo den Wandel innerhalb der Gesellschaft und die Art und Weise, wie sie wohlgeformte, runde Körper, insbesondere übergewichtige, dunkelhäutige Körper, betrachten –dicke Frauen mit dunkler Haut in den Medien zu sehen, die ihr Selbstbewusstsein und ihre Sexualität mit ihrer eigenen Autonomie besitzen, war schon immer eine extreme Seltenheit. Aber das ist noch nicht genug. Die Body-Positivity-Bewegung hat noch einen langen Weg vor sich. Bis wir an einen Ort kommen, an dem Menschen aller Körpergrößen und Ethnien die Bewegung selbst wieder als einen sicheren Raum sehen können, in dem wir unseren Körper feiern und friedlich leben können, ohne die Respektlosigkeit, das Gelächter und die Unfreundlichkeit anderer Menschen. Bis dahin werden wir immer noch Fälle von Angst vor Übergewicht sehen, die sich ausbreiten. Man denke nur daran, was kürzlich mit der britischen Sängerin Adele geschah, als man sie für ihren Gewichtsverlust lobte, obwohl es nicht einmal geringsten Anlass geben sollte, dass die Leute darüber diskutieren. Wie können wir das also ändern? Eine großartige Sache, die der Bewegung weiterhelfen kann, ist Verbundenheit. Menschen, die in privilegierten und schlanken Körpern leben, können ein Teil der Bewegung für Body Positivity sein, indem sie ihre Plattformen und Stimmen dazu nutzen, die Gedanken, Meinungen und Perspektiven von Stimmen, die sonst aufgrund ihres Aussehens nicht gehört werden, zu erheben, zu retweeten und neu zu bloggen. Mit ihrer Hilfe können wir die gefährlichen und schädlichen Erzählungen über Gewicht auflösen, die von den Medien und der Ernährungsindustrie geschaffen wurden. Veränderungen müssen auch hinter den Kulissen stattfinden. Von DirektorInnen und AgentInnen bis hin zu PR-MitarbeiterInnen und Marketingfachleuten kann eine Zunahme der körperlichen Vielfalt bei den MitarbeiterInnen einen tiefgreifenden Wandel in der Art des Medienoutputs bewirken, den wir erhalten. Aber der Wandel vollzieht sich langsam. Die Bewegung braucht schlichtweg mehr Unterstützung und Verantwortlichkeit in allen Bereichen, damit sie jemals an einen Ort gelangen kann, an dem alle gleich behandelt werden. Aus dem Buch ""Fattily Ever After: The Fat, Black Girls' Guide to Living Life Unapologetically"" von Stephanie Yeboah, jetzt bei Hardie Grant Books erschienen Wir liefern Ihnen VOGUE nach Hause – jetzt online bei Amazon.de bestellen! #stayhome #staysafe Adele hat abgenommen: Warum Gewicht keine Rolle spielen sollte: Schlagzeilen rund um die Gewichtsabnahme der Sängerin Adele führen uns vor Augen, wie ungerecht die vermeintliche Body-Positivity-Bewegung sein kann Bodyshaming: Die Welt ist nicht bereit für alte Körper! Amelie Kahl schreibt über Ihre Meinung zu Bodyshaming 19 Beauty-Accounts auf Instagram, die wir lieben: Zu Ehren des Pride-Monats und der ""Black Lives Matter""-Proteste finden Sie hier eine Liste mit 19 LGBTQIA+ Black Beauty Creators"
25-9-2020	07:00:00Z	Bild der Frau	Spot-on-news	Body Positivity: Eine inspirierende Bewegung wird erwachsen	https://www.bildderfrau.de/promi-party/article230513774/Body-Positivity-Eine-inspirierende-Bewegung-wird-erwachsen.html	
14-11-2020	16:22:17Z	VIP.de, Star News	https://www.facebook.com/VIP.de	Schwangere Christina Perri feiert ihren Körper	https://www.vip.de/cms/schwangere-christina-perri-feiert-ihren-koerper-4650180.html	Singer-Songwriterin Christina Perri (34) ist hochschwanger – und vollkommen davon überwältigt, was der weibliche Körper vollbringen kann. In einem Instagram-Post zeigt sie sich nun komplett nackt, um das Wunder der Schwangerschaft zu feiern. Auf den Instagram-Bildern ist Christina Perri vollständig nackt zu sehen, lediglich Brust und Schritt sind von ihren Händen bedeckt. Eigentlich wollte sie gar keine Schwangerschaftsfotos, betont sie in dem Post: Während ihrer ersten Schwangerschaft sei sie so traumatisiert von ihrem Umfang gewesen, dass das nicht für sie infrage kam. Doch nach ihrer Fehlgeburt im Januar sei sie nun so dankbar für die Schwangerschaft, dass sie sie gebührend feiern will: „Ich weiß nicht, ob ich jemals wieder schwanger sein werde, also werde ich diese Dinge diesmal richtig feiern und ehren: meine Schwangerschaft, mein Baby und meinen wunderschönen Körper.“ Die Fotos zeugen von Selbstbewusstsein und Body-Positivity. „Ich bin überwältigt davon, was unsere Körper schaffen können,“ schreibt sie in ihrem Post. Perris Schwangerschaftsbilder kommen am Dienstag kurz vor einer schlechten Nachricht – zwei Tage später wurde sie wegen Komplikationen ins Krankenhaus eingeliefert. Doch zum Glück kam schon bald eine leichte Entwarnung: „Ich hoffe, ich bleibe schwanger“, teilt sie zuversichtlich mit. In ihrer Insta-Story bedankt sie sich jetzt für die tausenden aufbauenden Nachrichten, die sie von ihren Fans erhalten hat: „Ich kann nicht ausdrücken, wie dankbar ich bin!“
21-2-2020	08:00:00Z	SWR3	SWR3 (info@swr3.de)	Statt bodyshaming - bodypositivity. Alles ist schön! | Aktuell	https://www.swr3.de/aktuell/statt-bodyshaming-bodypositivity-100.html	"So gut wie jedes Bild auf Instagram und Co ist bearbeitet und vermittelt ein sehr unrealistisches Schönheitsideal. Morena Diaz hatte lange Zeit Probleme, ihren Körper zu akzeptieren und hat sich der sogenannte „Body-Positivity-Bewegung“ angeschlossen. Sie fordert: Schluss mit den gefakten Körperbildern im Netz. Body Positivity heißt: Jeder Körper ist schön, so wie er ist. Dabei sollen alle Menschen einbezogen werden, egal wie sie aussehen. Man möchte zurück zum positiven Körperbild und eine Gegenbewegung zum Schönheits-und Perfektionswahn sein. Das zeigen die Anhänger zum Beispiel in den sozialen Netzwerken mit unbearbeiteten Fotos und Videos. Frauen in den USA haben mit der „Body-Positivity-Bewegung“ angefangen. Zuerst waren es hauptsächlich übergewichtige Frauen, die gezeigt haben, dass auch ein fülliger Körper schön ist. Heute gibt es die Body-Positivity-Bewegung weltweit. Die Bloggerin Morena Diaz war eine der Ersten in Europa, die sich der Bewegung angeschlossen hat und sie vertritt. ""Du bist fett! Deine Bauchrollen zeigen nur, dass du faul bist."" So erinnert sich Morena an die Reaktionen auf eines ihrer ersten Body-Positivity-Fotos. Sie hat das Bild bei Instagram hochgeladen. Dort sitzt sie im Bikini und man sieht kleine Bauchrollen. Ganz normal. Bis ihr diese Kommentare nichts mehr ausgemachten haben und sie Dinge sagte wie „Ich bin gut so, wie ich bin. Ich muss mich für niemanden verändern“ war es ein weiter Weg. Morena ist heute 24. Bevor sie sich der Body-Positvity-Bewegung angeschlossen hat, hatte sie selbst mit einer Essstörung zu kämpfen. Schon als Kind hat sie zusammen mit ihrer Mutter Diäten gemacht. Irgendwann wollte sie genauso aussehen, wie eine Frau auf einem Vorher-Nachher-Foto bei Instagram. Die Folge: Sportsucht und Fressattacken. „Ich war so auf mein Aussehen, auf meinen Körper fixiert, dass ich mich gar nicht auf andere Dinge im Leben konzentrieren konnte.“ Die vielen Bilder in den sozialen Netzwerken findet Morena problematisch. Deswegen postet sie andere Bilder mit der Message: Steh zu dir.„Wenn wir ständig so viele Bilder sehen, haben wir das Gefühl, wir passen gar nicht zu diesem Schönheitsideal.“Deswegen sieht man auf ihrem Instagramkanal und ihrem Blog unbearbeitete Fotos, auf denen sie nicht den Bauch einzieht. Oder sie postet Videos, die zeigen wie sich ein Körper innerhalb von Sekunden, allein durch eine andere Pose komplett verändern kann.Den Begriff Makel mag sie überhaupt nicht. „Das ist mehr etwas, dass die Industrie erfunden hat. Du hast eine Delle, also haben wir die Lösung. Du hast Pickel, wir haben die passende Creme. Wir bekommen vorgeschrieben, was wir als Makel zu sehen haben.“ Morena arbeitet als Lehrerin. Sie will für ihre Schüler ein Vorbild sein. Selbstliebe und Akzeptanz aller Körperformen — dafür will sie mit der Body-Positivity-Bewegung stehen. Dabei soll es egal sein, wie jemand aussieht. Vor allem sollen die Leute aufhören, mit dem Finger auf andere zu zeigen, die offenbar nicht dem Schönheitsideal entsprechen. Morena möchte vor allem eine Message vermitteln: ""Lasst euch nie negativ beeinflussen, von niemandem. Niemand hat es verdient, unglücklich wegen dem eigenen Aussehen zu sein."" Video herunterladen (37,1 MB | MP4) www.bzga-essstoerungen.dewww.bundesfachverbandessstoerungen.dewww.anad.dewww.magersucht.dewww.ess-stoerungen.netwww.cinderella-beratung.de"
