Publication Date	Time	Publisher	Author	Title	URL	Text	
8-11-2020	13:00:58Z	Telegraaf.nl		'Oneerlijk dat ik geen buikwandcorrectie krijg!' | VROUW magazine	https://www.telegraaf.nl/vrouw/722356025/oneerlijk-dat-ik-geen-buikwandcorrectie-krijg	Mariska Wiltinge (40, getrouwd, moeder van twee tienerdochters) overleefde baarmoederhalskanker, maar wil nu haar gehavende buik laten corrigeren. En dat wordt raar gevonden… „Body positivity? Ammehoela! Ik ben niet blij met mijn lichaam en weiger het te accepteren zoals het nu is. Van mijn spiegelbeeld word ik verdrietig: dit bén ik gewoon niet. Ik had altijd maatje 36 en nu allesbehalve. Vijf jaar terug kreeg ik baarmoederhalskanker en na de vele operaties is mijn buik net een slagveld: overal littekens en slappe huid. Mijn lymfen zijn weggehaald, dus ik zwel helemaal op. Ik schaam me zo voor mijn nieuwe uiterlijk dat ik in geen jaren een badpak heb aangetrokken, zwemmen met de kinderen doe ik niet meer. Ik wil zo graag een buikwandcorrectie, maar mijn omgeving snapt dat niet. Mijn man is begripvol, maar veel vrouwen reageren bot. ‘Je hebt toch kanker overleefd, wat zeur je nou over een imperfect lichaam? Je moet dankbaar zijn dat je nog leeft!’ Natuurlijk ben ik dat, maar mag ik daarom niet ongelukkig zijn met mijn lichaam? Mijn zorgverzekeraar ziet de noodzaak ook niet. Mijn depressieve gevoelens zouden niet door mijn nieuwe spiegelbeeld komen, want ik slikte daarvoor ook al antidepressiva. Maar ik ken mezelf toch? Ik weet dat die buik de reden is. Ik vind het oneerlijk: mensen met overgewicht krijgen een maagverkleining, maar ik mag niet klagen. Ik heb nu zelf 1100 euro gespaard en hoop via crowdfunding de rest van de 5000 euro voor de ingreep te verzamelen. Mocht het lukken, dan wordt het een zware operatie. Nog een keer onder het mes, meer littekens… moet ik dat willen? Het antwoord is: ja. Alleen zo krijg ik mezelf weer terug!” Dit stukje staat in het nieuwe VROUW Magazine (iedere zaterdag bij De Telegraaf). Als premiumlid kun je het ook (soms al eerder) online lezen. Maak jij iets bijzonders mee en wil je dat met ons delen? Dagelijks de mooiste artikelen en interviews. Ongeldig e-mailadres. Vul nogmaals in aub. Lees hier ons privacybeleid.	
12-11-2020	07:55:18Z	Volkskrant	Door Tom Vennink | Foto's Arthur Bondar  Â 11 november 2020, 13:58	Jarenlange strafkolonie voor een tekening van een blote vrouw of homostel?	https://www.volkskrant.nl/kijkverder/v/2020/jarenlange-strafkolonie-voor-een-vrouwenborst~v408743/	Julia Tsvetkova deelde tekeningen van blote vrouwen en een homostel op internet. Haar wacht nu mogelijk zes jaar strafkolonie voor het verspreiden van pornografie en homoÂ­propaganda. Het tekent de sfeer van de kruistocht die het Kremlin voert tegen alles wat indruist tegen traditionele waarden. Julia Tsvetkova deelde tekeningen van blote vrouwen en een homostel op internet. Haar wacht nu mogelijk zes jaar strafkolonie voor het verspreiden van pornografie en homoÂ­propaganda. Het tekent de sfeer van de kruistocht die het Kremlin voert tegen alles wat indruist tegen traditionele waarden. Het is feest in de boevenhoofdstad van Ruslands Verre Oosten. Door de straten scheuren Ladaâs met de witblauwe vlaggen die ieder jaar tevoorschijn komen op de Dag van de Â­Marine. Bierflessen rinkelen over de betonplaten langs de rivier. Een baby met een gouden oorbel krijgt een ijsbolletje opgelepeld door een tienermeisje. Tussen het gedruis loopt een misdaadverdachte haar dagelijkse ommetje. In de buitenlucht, nu het nog kan. Julia Tsvetkova mag de stad niet uit in afwachting van de rechtszaak. Die gaat haar waarschijnlijk jarenlange opsluiting in een strafkolonie opleveren, want in Rusland wordt slechts 1 op de 400 misdaadverdachten vrijgesproken. Tsvetkova (27) wordt niet verdacht van een misdaad waar Komsomolsk aan de Amoer zijn beruchte reputatie aan dankt. Ze deed geen schimmige zaken met bendes, zoals haar vader, en ze haalde geen trekker over, zoals de mensen die haar vader vermoordden. Ze heeft ook niet de looks van een bajesklant. Met haar linnen pofbroek, kortgeschoren haren en haaienrugzakje is ze voor de voorbijgangers in de Leninstraat een exoot die doet omkijken. Tsvetkova wordt vervolgd voor iets waar nog niemand in Komsomolsk aan de Amoer voor is vervolgd: het Â­delen van feministische tekeningen op internet. De tekeningen zijn kleurrijke beeltenissen van vrouwelijke geslachtsorganen. Sommige gemaakt met waterverf, andere met kleurpotlood. Abstract en minder abstract. Tsvetkova maakte ze niet zelf, maar deelde ze op âDe Vagina Monologenâ, een feministische pagina over body positivity op het Russische sociale medium Vkontakte, met voor de zekerheid â18+â in de beschrijving. Verspreiding van pornografie, stelt het Openbaar Ministerie. Bijbehorende strafmaat: twee tot zes jaar strafkolonie. Zo gaat dat tegenwoordig in Rusland met activisten voor zaken die niet stroken met het conservatieve Â­wereldbeeld van de machtshebbers. Een muisklik en je verdwijnt in een strafkolonie. Tenminste, als je pech hebt. Bijna iedereen komt weg met het delen van een tekening van het vrouwelijk lichaam of een regenboogvlaggetje op Instagram. Bijna iedereen. Maar Tsvetkova valt in die andere categorie: de eenlingen die vervolgd worden om de bevolking terughoudender te Â­maken in het uiten van progressieve denkbeelden. Meestal valt de hele Russische activistenwereld zulke eenlingen in de armen om ze te steunen. Maar bij Tsvetkova gaat dat lastig, want ze woont in Komsomolsk aan de Amoer: een fabrieksstad aan het uiteinde van de BAM, een spoorlijn van ruim vierduizend kilometer naar het uiterste oosten van SiberiÃ«. Zeven tijdzones verwijderd van de feminstenscene van Moskou en Sint-Petersburg. âIk heb heel coole advocaten die me helpenâ, zegt Tsvetkova. âMaar ze zitten in Jekaterinenburg.â Jekaterinenburg is een stad vijf tijdzones verderop. Haar ommetje voert langs blinkende Russisch-orthodoxe kerken, een gloednieuwe erehaag met standbeelden van vaderlandse oorlogshelden, onder wie Jozef Stalin, en billboards van de lokale bouwmarkt met de wervende tekst âuw man weet wat te kiezenâ. In deze straten vond ze geen strafadvocaat die bereid is om haar bij te staan. âLokale advocaten werken voor de autoriteiten of voor misdadigers. Als ze mij als feminist beschermen in een pornografiezaak, verliezen ze al hun respect onder de misdadigers die hun werk opleveren.â Dat betekent dat Tsvetkova geregeld alleen naar het politiegebouw moet en in haar eentje tegenover de inspecteurs zit. âHet eerste verhoor was doodeng. Mijn handen en knieÃ«n trilden. Nu ben ik kalmer.â Maar bang is ze voortdurend in haar eigen stad. Om haar hals bungelt een alarmknop die een noodsignaal kan geven naar haar moeder. Die krijgt constant de gps-coÃ¶rdinaten van haar dochter doorgestuurd. En dat terwijl Tsvetkova tot voor kort bekendstond als een van de grootste kunsttalenten van Komsomolsk aan de Amoer. Op haar 13de had ze al een eigen tentoonstelling en kwam ze op de lokale tv. Ze studeerde in Moskou en Londen en combineerde kunstenaarschap de afgelopen jaren met lesgeven op het cultuurschooltje van haar moeder, een kunstenaar uit Moskou. Ze hield toneelvoorstellingen met kinderen over militarisme, gaf danslessen en vertelde kinderen over sterke vrouwen in de Russische geschiedenis. âSchool van de liefdeâ, kopte de stadskrant. Maar na het toneelstuk Blauw en Roze in februari 2019 sloeg de sfeer om. De voorstelling over genderÂ­stereotypes werd afgeblazen toen de eigenaar van het podium plots de Â­samenwerking introk. Tsvetkova moest naar het politiebureau voor verhoor. Ze werd verdacht van het organiseren van een gaypride onder de dekmantel van een toneelfestival voor kinderen. âZe vroegen of ik geld krijg van Amerikaâ, zegt Tsvetkova. Dat was het begin van huiszoekingen, politieverhoren, huisarrest van vier maanden met een enkelband, en doodsbedreigingen van antihomoÂ­activisten uit andere steden â de politie weigert die bedreigingen te onderzoeken. Tsvetkovaâs razendsnelle transformatie van âkunsttalentâ naar âextremistâ laat zien hoe Rusland veranderd is in de afgelopen jaren. Met nieuwe wetten en grondwetsaanpassingen heeft president Vladimir Poetin groen licht gegeven voor de vervolging van personen die zich uitspreken tegen de conservatieve ideologie uit het Kremlin en de machtige Russisch-orthodoxe kerk. Sinds de opening van de strafzaak is Tsvetkova twee keer veroordeeld onder de wet tegen homopropaganda. De eerste keer tot een boete van 50 duizend roebel (540 euro), de tweede keer 75 duizend roebel (810 euro). Opnieuw wees het Openbaar Ministerie op tekeningen, ditmaal gemaakt door Tsvetkova. Een van de tekeningen toont twee gezinnen met lgbt-ouders. âEen gezin is waar liefde isâ, staat erboven. Het schooltje van haar moeder loopt leeg. Van de 250 kinderen zijn er nog enkele tientallen over. âOuders die voor de overheid of staatsbedrijven werken, hebben van de autoriteiten opdracht gekregen om hun kinderen hier weg te halenâ, zegt Juliaâs moeder Anna, zittend op een tafel in het kleurrijke lokaal. Andere ouders zijn afgeschrikt door de politie-invallen bij het schooltje. âIk snap het wel. Als je je kind naar een vrije en veilige plek wil brengen, dan ga je niet naar een plek waar voortdurend politieagenten rondlopen.â Daarmee is het einde in zicht voor het Komsomolski Komjoeniti Tsentr, de vrijste onderwijsinstelling van Komsomolsk aan de Amoer. Het onderwijs in de stad zal zich beperken tot het onderwijs zoals de staat het voorschrijft, met jongens die leren hoe je zo snel mogelijk een kalasjnikov in elkaar zet en meisjes die leren koken. Voor Tsvetkova en haar moeder is er geen reden meer om in de stad te blijven. âDe stad is ruig en lelijk, maar hier kon ik wel voor verandering zorgenâ, zegt Juliaâs moeder. âDat kan nu niet meer.â Tsvetkova wil ook weg, in navolging van de helft van haar klasgenoten die Komsomolsk aan de Amoer allang achter zich hebben gelaten. Alleen mag Tsvetkova de stad niet uit zolang het strafrechtelijk onderzoek loopt. Dat loopt nu meer dan een jaar en de rechtszaak is al diverse keren uitgesteld. âHet kan jaren durenâ, zegt Tsvetkova. âEn dan komt de uitspraak nog. Maar daar durf ik niet aan te denken.â Steunbetuigingen uit de activistenÂ­gemeenschap houden haar naar Â­eigen zeggen op de been. Ook al komt die steun van ver weg. In Moskou zijn er geregeld acties voor Tsvetkova, die telkens beÃ«indigd worden door de politie. Enkele vooraanstaande tv-presentatoren pleiten voor de vrijlating van Tsvetkova. En ook uit het buitenland komt steun. Amnesty International voert campagne en in oktober werd bekend dat het Stedelijk Museum in Amsterdam kunstwerken van Tsvetkova heeft gekocht. In Komsomolsk aan de Amoer houdt de bevolking zich gedeisd. Bij een statig Sovjet-monument langs de rivier vertelt een skater met paars geverfde haren dat ze strafkolonie voor de tekeningen âniet eerlijkâ vindt, maar wat kan ze doen? Als ze gaat protesteren, kan ze zelf bestraft worden via nieuwe antidemonstratiewetten. Tsvetkova zegt dat ze tijdens haar ommetjes weleens voorzichtig opgestoken duimen ziet. Maar die zullen haar in de rechtbank niet helpen, verwacht ze. âHet uiteindelijke vonnis zal afhangen van telefoontjes van boven.â Huiselijk geweld is sinds kort niet meer strafbaar in Rusland, want âvaders horen niet in de celâ. Maar een groeiende groep vrouwen komt in opstand. Op de meeste plekken in Rusland hoeven homoâs geen geweld te vrezen zolang ze hun geaardheid niet in de openbaarheid tonen, maar in de provincie TsjetsjeniÃ« is dat anders. Buurland Belarus staat net als Rusland niet bekend om feminisme, maar dat is veranderd sindsde recente volksopstand in het land. Die wordt geleid door vrouwen. 	
2-11-2020	08:00:00Z	glamour.nl	Stijn de Vries	"Joann van den Herik: ""Elke dag een lekker wijf zijn hoeft niet"""	https://www.glamour.nl/mind/psyche/a34547684/joann-van-den-herik-body-positivity/	Met Glamour praat het model over body positivity, zelfliefde en representatie Ze werd dagelijks uitgescholden, hongerde zichzelf als gevolg daarvan uit en was jarenlang onzeker. Tot model Joann van den Herik (21) over body positivity las. “Was er maar een Joann toen ik opgroeide. Dat zou me enorm hebben geholpen. Ik had zo veel tijd kunnen besparen als ik vroeger al wist dat ik er mocht zijn. Zo durfde ik als tiener nooit met vriendinnen te zwemmen, uit angst dat mijn buik op zou vallen. Tegenwoordig is dat anders en plaats ik juist eerlijke foto’s van mezelf op Instagram. Zo zien jonge meisjes dat er meer bestaat dan alleen maar slanke lichamen. Het is belangrijk dat nieuwe generaties zien dat ieder mens een ander figuur en huidkleur kan hebben. Representatie is nodig om te weten dat je niet alleen bent. Vroeger voelde ik me geen dag niet alleen. Ik was van jongs af aan de langste en dikste van de klas. Dat maakte me enorm onzeker. Mijn vriendinnen hadden maat 34 en ik kwam, hoe graag ik dat ook wilde, niet onder de 40. Ondertussen noemde mijn omgeving me dagelijks te dik en zag ik ook nog alleen maar dunne vrouwen in de media. Dat was niet goed voor mijn zelfbeeld. Als gevolg heb ik zo’n beetje alle diëten geprobeerd en een tijd zelfs laxeermiddelen gebruikt. Het ging zo ver dat ik mezelf iedere dag uithongerde. Ik vond mezelf zó lelijk en moest koste wat kost afvallen. Daardoor kreeg ik op mijn vijftiende een eetstoornis. Die nare tijd bracht me, jaren later, op het idee om mijn profielwerkstuk over het schoonheidsideaal te doen. Zo stuitte ik op de body positivity beweging: mensen die respect opeisen voor hun lijf. Ineens zag ik dat ik zo veel meer ben dan enkel mijn maten en gewicht. Ik wist niet wat ik las. Eindelijk voelde ik dat ik er mocht zijn en dat ik goed ben zoals ik ben. De kennis die ik opdeed over body positivity werd het begin van mijn reis naar zelfliefde. Ik begon vrouwen op Instagram te volgen die hun lijf, inclusief vetrollen, met trots lieten zien. Dat vond ik prachtig. Ze wisten zichzelf te omarmen – ook al hebben ook zij hun onzeker-heden. Het inspireerde me om, net als zij, mijn lichaam te laten zien zoals het is. Nu ik veel volgers op social media heb, krijg ik steeds meer uiteenlopende reacties. Er zijn meiden die me vertellen dat ik ze help door mijn vetrollen te laten zien. Anderen reageren dat ik moet sporten en noemen me een varken. Vroeger vond ik zulke opmerkingen heftig, nu lach ik er alleen maar om. Zelfliefde bereik je niet in een week tijd. Ook is het onmogelijk om jezelf iedere dag een lekker wijf te vinden. Bij zelfliefde probeer je juist zo goed mogelijk voor jezelf te zorgen, naar je lichaam te luisteren en jezelf de tijd te gunnen om te groeien. Dat doe ik door elke dag in de spiegel te zeggen dat de wereld van me houdt, en dat ik mooi ben zoals ik ben. Daarnaast mediteer ik, waardoor ik positiever in het leven sta. Ik ben echt niet iedere dag positief over mezelf, maar daar werk ik wel naartoe. Het is belangrijk om te weten dat je onzeker mag zijn, dat is iedereen. Maar weet dat je zoveel meer bent dan je uiterlijk. Tegenwoordig focussen we te veel op de buitenkant. Het is belangrijker om een goed mens te zijn. Wat ik de laatste jaren heb geleerd is dat élke maat, huidskleur en minderheid respect en liefde verdient. Wist ik dat vroeger maar.” Dit artikel lees je in het oktobernummer 2020 van Glamour dat nú in de winkels ligt. Naast het verhaal van Joann, staat het issue in het teken van Selma Omari. Met haar half miljoen volgers kun je niet meer om de vlogster en muzikante heen. Met Glamour spreekt ze in het XXL-beautyissue, dat nu in de winkels ligt, voor het eerst openhartig over kiezen voor je eigen geluk, feminisme en ex-vriendje Boef. Geen zin om de deur uit te gaan? Je bestelt 'm online! Wil jij iedere maand het leukste blad van Nederland op je deurmat krijgen? Meld je dan aan als abonnee, en mis nooit meer een editie van Glamour.	
14-7-2020	07:00:00Z	Telegraaf.nl		Praat mee: is body positivity alleen bedoeld voor echt dikke mensen?	https://www.telegraaf.nl/vrouw/1094588786/praat-mee-is-body-positivity-alleen-bedoeld-voor-echt-dikke-mensen	Linda in bikini op de cover: body positivity of niet? Ⓒ LINDA. Linda de Mol (56) prijkt vanaf morgen in bikini op de cover van haar eigen blad. Ze doet dat om een statement te maken voor body positivity. Ⓒ LINDA.	
23-7-2020	07:00:00Z	Telegraaf.nl		'Zo positief is body positivity niet!' | De Kwestie | Telegraaf.nl	https://www.telegraaf.nl/watuzegt/1731117087/zo-positief-is-body-positivity-niet	Opinie Esther Jansen, psycholoog De zogenoemde body positivity movement legt, volgens psycholoog Esther Jansen, verkeerde accenten. Zij pleit voor body acceptance. Linda de Mol oogstte lof bij (on)bekend Nederland door in het kader van ’body positivity’ in bikini op de cover van haar magazine te verschijnen. Maar Esther Jansen plaatst er haar vraagtekens bij. Ze is psycholoog en onderzoeker bij Co-eur, een GGZ-instelling voor de behandeling van eetstoornissen en onderdeel van het Zorg van de Zaak Netwerk en vindt dat er het een en ander schort aan de body positivity movement. De zogenoemde body positivity movement legt, volgens psycholoog Esther Jansen, verkeerde accenten. Zij pleit voor body acceptance.	
6-7-2020	07:00:00Z	Telegraaf.nl		Klaar met body positivity... 'Ik ben 20 kilo aangekomen en nóg is het niet goed!'	https://www.telegraaf.nl/vrouw/805838907/klaar-met-body-positivity-ik-ben-20-kilo-aangekomen-en-nog-is-het-niet-goed	Ik weet het. Ik snap het. Ik begrijp het. Maar toch hangt dat hele body positivity-gedoe mij de keel uit. Ik ben van 1968. In mijn jeugd was bijna niemand dik. Kinderen waren niet te dik en de meeste volwassenen ook niet. Wij wisten: ieder pondje gaat door het mondje en dat gaat tot op de dag van vandaag nog precies zo: als je te veel eet en te weinig beweegt, word je dik(ker).	
25-10-2020	07:00:00Z	De Limburger	Ronald Colée	Iris Frederix uit Schimmert zoekt talenten in tv-programma Project Rembrandt: 'Ik voel me soms net Elsa uit Frozen'	https://www.limburger.nl/cnt/dmf20201013_94168091	 Iris Frederix: „Zonder amusement krijg je een zeventienjarige echt niet zover dat hij naar een televisieprogramma over Rembrandt kijkt. Tenzij het voor een spreekbeurt is.” Afbeelding: Laura Oldenbroek Op NPO1 begint zondag het tweede seizoen van ‘Project Rembrandt’. Iris Frederix (Schimmert, 1981) is opnieuw een van de docenten in deze zoektocht naar de beste amateurkunstschilder van Nederland. „De kleur van mijn lippenstift bepaalt echt niet mijn identiteit.” Ontvang dagelijks tijdens de lunch een update van het belangrijkste nieuws per e-mail.	
25-8-2020	07:00:00Z	Telegraaf.nl		'Het normaliseren van dikke lijven is ongezond' | Lezerscolumn	https://www.telegraaf.nl/vrouw/775790649/het-normaliseren-van-dikke-lijven-is-ongezond	Talitha Muusse (29) keek gisteren verbaasd naar Jinek waar body positivity een platform kreeg. Niet dat ze een positief zelfbeeld niet steunt, maar ze vindt dat we nu wel heel erg doorslaan in het hypen van vollere lijven. „En het ergste is dat de body positivity-beweging geen kritiek duldt.”	
21-10-2020	07:00:00Z	Volkskrant	Redactie	Meeste kerken houden zich aan coronaprotocol	https://www.volkskrant.nl/columns-opinie/meeste-kerken-houden-zich-aan-coronaprotocol~b30f947b/	" De ingezonden lezersbrieven van donderdag 22 oktober. Het benoemen van een kerkgang als ‘hobby die te vergelijken is met het bezoeken van de voetbalclub’ door Jos Zwaanenburg (O&D, 20 oktober) gaat te ver. De enige overeenkomst die er is, is dat iedereen gelukkig vrij is om te gaan voetballen of om een kerkdienst te bezoeken – of beide te doen. Wellicht door onbekendheid worden vele stromingen binnen de kerken hiermee door Zwaanenburg over één kam geschoren. Helaas wordt hierbij onvermeld gelaten dat het overgrote deel van de kerken alles rondom covid-19 uitstekend heeft geregeld: er worden zeer beperkt kerkgangers toegelaten (maximaal 30, maar vaak ook minder omdat het kerkgebouw klein is, zoals in mijn eigen situatie), er zijn afdoende hygiënemaatregelen getroffen, er wordt afstand gehouden en niet gezongen. Een soms lastige opgave, omdat zingen een essentieel deel uitmaakt van de eredienst, maar het kan nu niet anders. Zoals veel vaker het geval, wordt het beeld bepaald door uitzonderingen, waar mensen zich niet aan de geldende voorschriften houden omdat men zich erboven voelt staan en meent dat er andere wetten gelden. Een beeld dat door de media wordt uitvergroot en dan als waarheid gaat gelden. Jammer. Maarten van der Wouden, De Heurne Het verhaal over Frida Kahlo (O&D, 16 oktober) is anders. Toen zij in Europa was,heeft André Breton haar een surrealist genoemd en daartegen is ze vreselijk tekeer gegaan. Er zijn nog radio-opnames van te vinden. Frida schoor het zwarte dons op haar bovenlip en wenkbrauwen zelf, toen zij jong was. Het was haar man, kunstenaar Diego Rivera,die haar zei dit niet meer te doen,omdat ze een ‘vogeltje’ op haar hoofd had. Het haardons moest ze laten staan om haar identiteit te laten zien. Op dat moment gaat ze ook Mexicaanse kleren dragen. En zichzelf ook zo schilderen, in haar kracht. En daar kunnen jonge vrouwen van nu inderdaad een puntje aan zuigen qua ‘body positivity’. Die doen nu ook vaak online een ‘tutorial painting’. Als ze op een kunstacademie komen, moet het weer afgeleerd worden, want het heeft niets met het vak schilderen te maken. Geke Hankel, schildersmodel, ­Groningen Heel goed dat Eric de Brabander (O&D, 19 oktober) aandacht vraagt voor de bijzondere leerstoel Nederlands-Caribische letteren aan de Universiteit van Amsterdam (UvA), die een waardevolle aanvulling biedt op het bestaande aanbod van de faculteit. Gelukkig is het bestaan van deze door professor Van Kempen bezette leerstoel tot zijn emeritaat in 2024 gegarandeerd, dankzij het Amsterdams Universiteitsfonds en bijdragen van sponsors. Gezien het belang van de leerstoel zal vroegtijdig worden gekeken naar de toekomstige financiering van de leerstoel, voor een eventuele opvolger van Van Kempen. Bijzondere leerstoelen worden immers per definitie mogelijk gemaakt door sponsoren van buiten de universiteit en de benoeming is steeds voor een periode van vijf jaar. Fred Weerman, decaan Faculteit der Geesteswetenschappen UvA Henk de Hooge (O&D, 21 oktober) stelt dat de drukte op scholen tegengegaan kan worden door leerlingen in de klas te laten zitten en de docenten te laten wisselen van lokaal. Dit is helaas op de meeste middelbare scholen onmogelijk: in de bovenbouw hebben leerlingen allemaal verschillende profielen en vakkenpakketten, en daarom zitten ze gedurende de dag vaak niet in een en dezelfde klas. Tenzij we deze keuzevrijheid drastisch terugdringen, is in de bovenbouw lokaalwisseling door docenten een utopie. Paul Meijer, geschiedenisdocent, Deventer Ik ben bepaald geen PVV-stemmer, maar met de onthoofding van de leraar in Parijs is de maat vol en kom ik tot de conclusie dat er binnen Europa geen plaats meer hoort te zijn voor de radicale islam. Dat betekent concreet, in lijn met de aangekondigde aanpak in Frankrijk: salafistische organisaties verbieden, radicale imams uitwijzen, scherp toezicht op de besturen van moskeeën en islamitische scholen en strenge toetsing van preken en lesmateriaal en vooral: intrekking van verblijfsvergunningen en EU-paspoorten van radicale moslims, gevolgd door uitzetting. Dit zou bijvoorbeeld ook moeten gelden voor de ouders van de Parijse moordenaar. Deze laatste maatregel zal veel meer afschrikkend effect hebben dan soft beleid, gevangenisstraf of boetes. Eventuele juridische obstakels moeten overwonnen worden door aanpassing van wetgeving en verdragen. Uitwijzing van radicale moslims kan waar nodig afgedwongen worden met stevige economische en politieke druk op landen van bestemming. We kunnen niet langer lijdzaam blijven toezien hoe onze maatschappij door religieuze fanaten wordt bedreigd en ondermijnd. Rob Glastra, Heemstede De column van Erdal Balci (O&D, 20 oktober) kan niet beter worden geïllustreerd dan met de berichtgeving in de Volkskrant. Niet meer dan 29 regeltjes op pagina 6 voor iets waardoor heel Frankrijk op zijn kop staat. Ja, zo gaat dat in ‘de habitat van onwetende, ongeïnteresseerde en ontkennende witte Europeanen’. Niet iets om trots op te zijn. Tony Lith, Amsterdam Een huis in Mozambique, een wat duur uitgevallen bootje, een foto in een restaurant, een reisje naar Griekenland. Als ik bestuurslid was van het Republikeins Genootschap zou ik hem onmiddellijk een gratis lidmaatschap voor het leven aanbieden. Iemand die zo consequent en met zo veel verve de monarchie ondermijnt, die zou ik in mijn gelederen willen hebben. Paul Boom, Spaarndam De Nederlandse artiesten hebben het zwaar door de coronamaatregelen. Daarom stel ik voor om ze te laten optreden op televisie, veel vaker dan normaal. Het mes snijdt aan twee kanten: ze doen iets terug voor de financiële steun die ze ontvangen en ze vergroten hun bekendheid. We zijn op dit moment beperkt in onze bewegingsvrijheid en voelen ons gefrustreerd. We hebben behoefte aan amusement. De Nederlandse artiesten kunnen ons dat bieden, in alle genres – acterend, stand-uppend, goochelend, dansend, voor elk wat wils. Hun optredens zullen bijdragen aan nationale saamhorigheid en ons gezamenlijke coronatrauma bestrijden. Niala Maharaj, Krommenie Lees zojuist dat Marx Lenin dos Santos Gonsalves in Rusland gaat spelen (Sport, 20 oktober). Hij is een linkspoot. Ja, duh. Richard Kamsteeg, Hilversum Om u deze content te kunnen laten zien, hebben wij uw toestemming nodig om cookies te plaatsen. Open uw cookie-instellingen om te kiezen welke cookies u wilt accepteren. Voor een optimale gebruikservaring van onze site selecteert u ""Accepteer alles"". U kunt ook alleen de sociale content aanzetten: vink hiervoor ""Cookies accepteren van sociale media"" aan. "	
29-10-2020	07:00:00Z	VOGUE Nederland	Kaira van Wijk		Deze moeders schitteren naast Romee Strijd 'The Motherhood Issue'	https://www.vogue.nl/magazine/g34480529/moeders-interview-motherhood-magazine/	"Alleenstaande moeder, adoptie-, tiener- of oudere moeder – voor allen geldt: het ouderschap is niet iets wat je half doet. In het nieuwe novembernummer van Vogue delen negen vrouwen hun ervaring met moederschap. Lees hieronder een preview en ontdek de volledige interviews in het magazine dat vanaf donderdag 22 oktober in de winkel ligt en je online hier bestelt. Scarlet Hemkes (37) en Joyce Everink (36) zijn communicatieadviseur en verpleegkundige en delen via Ik Vrouw Van Jou alles over hun leven als lesbisch koppel. Sinds 2018 kwam baby Hunter erbij, die werd verwekt met een zaaddonor gevonden via een oproep op hun eigen YouTube-kanaal. Scarlet: ‘Twee jaar geleden plaatsten we op onze YouTube: “Op zoek naar een zaaddonor!” Daarvoor hadden Joyce en ik het geprobeerd via een donorbank en online fora. Niet alleen zonder succes, maar het voelde vooral ook onprettig. Zo’n verouderde, afstandelijke website, vreemde reacties. Verder is een donorbank natuurlijk anoniem; je weet nog net wat de haarkleur van de donor is. Nu willen we via YouTube sowieso het een en ander uit de taboesfeer halen – bijvoorbeeld de clichématige beeldvorming over lesbische koppels en de depressie waarmee Joyce vroeger heeft geworsteld. Waarom geheimzinnig doen en er niet online voor uitkomen: wij willen een kind! Ons kanaal heeft ook een veel breder publiek dan zo’n schimmig forum.' Precies drie jaar geleden stond schrijver en body positivity-boegbeeld Mayra Louise (38) hoogzwanger in Vogue met haar goede vriendin Danielle van Grondelle. Nu is dochter Isameya drie en weten Mayra en haar (inmiddels) ex-vriend de zorg goed te verdelen. 'Toevallig, ik logeer nu bij Danielle om bij te komen. Belangrijk, want het moederen gaat me praktisch gezien natuurlijk af, maar het blijft een uitdaging om tijd voor mezelf te maken. Eerlijk gezegd had ik verwacht dat dat me net wat makkelijker af zou gaan. Van meer moeders hoor ik dat ze hun oude zelf of vrije leventje soms missen, en dat dit gepaard kan gaan met veel schaamte. Terwijl het eigenlijk heel normaal is. Die onvoorwaardelijkheid voor je kind is de beauty of it all, maar tegelijkertijd best veel.' Toen Jipp Heldoorn (23) op haar zeventiende onverwacht een kind kreeg en stopte met school, stond haar moeder, auteur, spreker en ex-model Lou Niestadt (52), vierkant achter haar. Ze schreven er een boek over. Lou: ‘Met de verrassing dat Jip zwanger bleek dwars door haar anticonceptie heen schoot de gedachte door me heen: fijn, zo’n kleintje erbij. Waarna daar een seconde later overheen walste: belachelijk, zo kun je toch niet denken! Maar de keuze lag natuurlijk bij Jipp en Luke (Jipps man). De hoogste waarde in ons gezin is altijd geweest dat je volledig jezelf kunt zijn, zonder maskers. Als je je kinderen niet neemt zoals ze zijn, beroof je ze eigenlijk alsnog van hun bestaansrecht. Je geeft een kind haar of zijn leven, niet het jouwe. Ik wilde Jipp wortels én vleugels meegeven, juist tijdens haar zwangerschap. Ik vind het geweldig hoe Jipp en Luke als team ondubbelzinnig het ouderschap zijn aangegaan.’ Waarom vertelt niemand je wat een fysieke en geestelijke aanslag een miskraam is, dacht beautyexpert Yokaw Pat (37) toen ze er in korte tijd drie te verduren kreeg. Nu, met een gezonde baby in haar buik, voelt ze zich meer verbonden met haar lichaam dan ooit. 'Vorig jaar kwam ik er na drie maanden achter dat ik zwanger was. Een week later draaide het uit op een miskraam en vlak daarna volgden nog twee miskramen. Dat heeft me wakker geschud. Ik was zo overwerkt dat mijn lijf een zwangerschap gewoon afstootte. Voorheen vond ik het lastig om nee te zeggen tegen een klus; je wil niet ondankbaar zijn voor een kans waar anderen van dromen. Toch was dit het keerpunt. Pas achteraf besefte ik hoe heftig een miskraam is en vooral dat niemand je dit vertelt!'"
